,Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Discount
837,ONIDA,Ultra HD LED,43,33190,52900,Android,4.2,19710
838,ONIDA,Full HD LED,32,56990,56990,Android,5.0,0
839,ONIDA,Full HD LED,32,35990,35990,Android,4.7,0
840,ONIX ,HD LED,32,19790,19790,Android,4.237685459940661,0
841,ONIX ,HD LED,39,14990,26349,Android,3.7,11359
842,ONIX ,Full HD LED,39,35990,35990,Android,4.237685459940661,0
843,OXYGEN ,Ultra HD LED,65,56990,124990,Android,4.237685459940661,68000
844,OXYGEN ,Ultra HD LED,43,27999,42990,Android,4.237685459940661,14991
845,PANASONIC,Ultra HD LED,43,30001,79900,HomeOS,4.3,49899
846,PANASONIC,Ultra HD LED,49,43259,66900,HomeOS,4.237685459940661,23641
847,PANASONIC,Ultra HD LED,55,55890,82400,HomeOS,4.237685459940661,26510
848,PHILIPS,Full HD LED,43,28999,35990,Linux,4.0,6991
849,PHILIPS,HD LED,32,18999,20990,Linux,4.0,1991
850,PHILIPS,Full HD LED,43,33459,36990,Android,4.5,3531
851,PHILIPS,Full HD LED,22,6649,12990,Unknown,3.9,6341
852,POWER GUARD,HD LED,24,10990,12990,HomeOS,4.237685459940661,2000
853,POWER GUARD,HD LED,24,11999,14990,Android,4.237685459940661,2991
854,POWER GUARD,HD LED,32,13300,19990,HomeOS,4.237685459940661,6690
855,POWER GUARD,HD LED,32,15650,28990,Android,4.237685459940661,13340
856,REALME ,HD LED,32,11999,21999,Linux,4.3,10000
857,REALME ,Ultra HD LED,55,46999,69999,Android,4.3,23000
858,RGL ,Full HD LED,20,4849,8990,HomeOS,3.9,4141
860,RGL ,Full HD LED,24,5459,12000,HomeOS,3.9,6541
861,RGL ,HD LED,32,11290,16990,HomeOS,3.7,5700
862,WESTON ,Full HD LED,40,27990,27990,Android,4.4,0
863,WESTON ,Full HD LED,43,37990,37990,Android,3.9,0
864,WESTON ,Ultra HD LED,43,40990,40990,Android,4.3,0
865,WESTON ,Full HD LED,49,49990,49990,Android,4.4,0
866,VU,Ultra HD LED,65,116000,116000,Linux,4.5,0
867,VU,Full HD LED,40,16999,27000,Linux,4.4,10001
868,VU,Ultra HD LED,43,23999,46165,Linux,4.3,22166
869,VU,Ultra HD LED,50,26360,41990,Linux,4.4,15630
870,VG ,HD LED,32,15990,20500,Android,4.237685459940661,4510
871,VG ,HD LED,39,17999,31000,Android,4.237685459940661,13001
872,T-SERIES,HD LED,32,12499,17990,Linux,4.237685459940661,5491
873,T-SERIES,HD LED,32,16499,18990,Android,3.9,2491
